OID_,NAME,ZONE_CODE,COUNT,AvgNDVI_AREA,AvgNDVI_MIN,AvgNDVI_MAX,AvgNDVI_RANGE,AvgNDVI_MEAN,AvgNDVI_STD,AvgNDVI_SUM,AvgNDVI_MEDIAN,AvgNDVI_PCT90,AvgNDVI_Date,AvgNDVI_Year,AvgNDVI_Month
198,Mabale,9,1780,0.010364173,123,162,39,132.1539327,4.646871074,235234.0002,131.6666718,137.6666718,2016_10,2016,10
199,Nekatambe,1,5882,0.034248351,109,179.3333282,70.33332825,134.4094978,7.61412712,790596.6661,134.6666718,143.3333282,2016_11,2016,11
200,Nemananga,2,3134,0.018247931,117.3333359,169.6666718,52.33333588,132.2381408,5.50157232,414434.3332,132.3333282,138.2333298,2016_11,2016,11
201,Sidinda,3,8465,0.049288047,119,182.3333282,63.33332825,135.9284898,5.927569738,1150634.666,135,143.3333282,2016_11,2016,11
202,Simangani,4,7246,0.042190335,117.3333359,171.6666718,54.33333588,132.1663906,4.904878465,957677.6663,132,137.6666718,2016_11,2016,11
203,Unknown 16,5,1665,0.009694577,108.6666641,152.3333282,43.66666412,130.5783781,4.783076704,217412.9996,130.3333282,136.6666718,2016_11,2016,11
204,Chidobe,6,1918,0.011167687,118,171,53,134.5050399,6.163216162,257980.6666,134,140.6666718,2016_11,2016,11
205,Jambezi,7,3851,0.022422713,119.6666641,178,58.33333588,133.4363368,6.293554326,513863.333,132.3333282,141,2016_11,2016,11
206,Kachecheti,8,2626,0.015290066,118.3333359,172.6666718,54.33333588,133.2774815,5.661999064,349986.6664,132.6666718,139.3333282,2016_11,2016,11
207,Mabale,9,1780,0.010364173,121,167,46,135.7080524,7.077163263,241560.3333,135,145,2016_11,2016,11
208,Nekatambe,1,5882,0.034248351,109,187,78,154.787884,13.9654988,910462.3336,156.6666718,172,2016_12,2016,12
209,Nemananga,2,3134,0.018247931,107.6666641,181.6666718,74.00000763,143.9400128,14.92560266,451108.0002,140.6666718,167.2333298,2016_12,2016,12
210,Sidinda,3,8465,0.049288047,118.6666641,186.6666718,68.00000763,151.6248474,11.27102781,1283504.334,151.3333282,166.6666718,2016_12,2016,12
211,Simangani,4,7246,0.042190335,119.6666641,187,67.33333588,148.2147851,11.24637887,1073964.333,148,163.3333282,2016_12,2016,12
212,Unknown 16,5,1665,0.009694577,111.3333359,182.3333282,70.99999237,149.2600601,12.52332769,248518,147.3333282,168.6666718,2016_12,2016,12
213,Chidobe,6,1918,0.011167687,110.3333359,185,74.66666412,147.7513032,12.87808887,283386.9996,147,165.3333282,2016_12,2016,12
214,Jambezi,7,3851,0.022422713,113.3333359,182.3333282,68.99999237,146.6698693,12.20659778,564825.6668,146.3333282,162.6666718,2016_12,2016,12
215,Kachecheti,8,2626,0.015290066,111,186,75,143.8015995,12.63884172,377623.0002,144,160,2016_12,2016,12
216,Mabale,9,1780,0.010364173,115.6666641,188.3333282,72.66666412,153.8904495,11.07230463,273925.0001,152.6666718,169.3666626,2016_12,2016,12
